epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.78117,0.69449,2.8733,1.05252,0.00551,0.83333,0.39285,0.35924,0.34021,2.5004,0.80436,0.0019,0.0019,0.0829
2,15.419,0.50231,1.57679,0.90971,0.98696,0.33546,0.47163,0.37637,0.51924,1.96574,0.84665,0.00382278,0.00382278,0.0648228
3,21.7882,0.48808,0.98113,0.89086,0.93242,0.2299,0.3567,0.29777,0.57397,2.11936,0.96349,0.00566636,0.00566636,0.0466664
4,28.168,0.48304,0.87353,0.89736,0.99373,0.47605,0.49546,0.44649,0.43346,1.13896,0.81757,0.00743074,0.00743074,0.0284307
5,34.6972,0.50278,0.82899,0.90751,0.99394,0.4883,0.49915,0.4408,0.50279,0.96796,0.82905,0.00911592,0.00911592,0.0101159
6,40.9952,0.51478,0.794,0.90392,0.99106,0.4935,0.49962,0.44521,0.4668,0.75063,0.81495,0.00901,0.00901,0.00901
7,47.4624,0.48045,0.73653,0.89779,0.99697,0.491,0.49922,0.45709,0.39004,0.61087,0.80043,0.008812,0.008812,0.008812
8,54.2272,0.46934,0.69688,0.90347,0.98935,0.49102,0.506,0.47734,0.33126,0.61265,0.7874,0.008614,0.008614,0.008614
9,61.1755,0.42317,0.67645,0.89224,0.99548,0.49701,0.667,0.61952,0.33499,0.60097,0.79303,0.008416,0.008416,0.008416
10,68.0829,0.42014,0.63859,0.8787,1,0.49313,0.59685,0.56631,0.30493,0.53195,0.78462,0.008218,0.008218,0.008218
11,74.9846,0.40413,0.61233,0.87711,0.42439,0.5,0.59096,0.55916,0.30699,0.49659,0.8018,0.00802,0.00802,0.00802
12,82.0281,0.39897,0.59132,0.87833,0.52937,0.66667,0.5493,0.52675,0.30058,0.49248,0.78934,0.007822,0.007822,0.007822
13,88.9052,0.36519,0.55387,0.88362,0.64311,0.65768,0.60815,0.57342,0.30003,0.47511,0.81177,0.007624,0.007624,0.007624
14,95.8783,0.35364,0.5319,0.87105,0.67897,0.66667,0.60859,0.58233,0.32998,0.48789,0.80288,0.007426,0.007426,0.007426
15,102.885,0.35808,0.49695,0.87049,0.9929,0.49401,0.71166,0.66869,0.29709,0.46484,0.78337,0.007228,0.007228,0.007228
16,109.739,0.33331,0.47921,0.86416,0.99604,0.5,0.5807,0.56212,0.24169,0.40243,0.78121,0.00703,0.00703,0.00703
17,116.539,0.31794,0.45249,0.86491,0.57801,0.83034,0.57129,0.54826,0.24733,0.39399,0.81171,0.006832,0.006832,0.006832
18,123.584,0.31452,0.44457,0.8646,0.71263,0.66367,0.6178,0.59848,0.23039,0.36745,0.77523,0.006634,0.006634,0.006634
19,130.593,0.29621,0.44318,0.85125,0.96512,0.83333,0.83007,0.80586,0.20722,0.30895,0.76831,0.006436,0.006436,0.006436
20,137.635,0.30234,0.40838,0.8534,0.7234,0.83103,0.77506,0.7436,0.19536,0.31586,0.76123,0.006238,0.006238,0.006238
21,144.563,0.29531,0.41583,0.84712,0.58577,0.83201,0.564,0.55353,0.22263,0.35276,0.76384,0.00604,0.00604,0.00604
22,151.676,0.26972,0.37802,0.84471,0.56944,0.65652,0.54933,0.53675,0.20082,0.3521,0.76869,0.005842,0.005842,0.005842
23,158.72,0.28333,0.38288,0.84702,0.54332,0.83333,0.53906,0.52946,0.25106,0.34614,0.77341,0.005644,0.005644,0.005644
24,165.69,0.27713,0.38937,0.84753,0.55413,0.66367,0.53801,0.53143,0.20063,0.3197,0.76174,0.005446,0.005446,0.005446
25,172.719,0.27151,0.38172,0.84303,0.83184,0.66367,0.68151,0.6776,0.18901,0.30734,0.76202,0.005248,0.005248,0.005248
26,179.967,0.25502,0.36341,0.8501,0.86062,0.66373,0.70634,0.70119,0.19008,0.28241,0.77254,0.00505,0.00505,0.00505
27,187.35,0.24274,0.34695,0.83116,0.9667,0.66068,0.73108,0.72752,0.18485,0.26809,0.77014,0.004852,0.004852,0.004852
