epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.03946,0.73322,2.87994,1.10262,0.00586,0.66068,0.39764,0.37236,0.32914,2.53178,0.82348,0.0019,0.0019,0.0829
2,15.9203,0.61699,1.63203,1.0078,0.96482,0.39556,0.46946,0.43519,0.39117,1.84457,0.82395,0.00382278,0.00382278,0.0648228
3,22.6345,0.64794,1.2062,0.99817,0.97884,0.33875,0.46176,0.42039,0.42053,1.68561,0.83612,0.00566636,0.00566636,0.0466664
4,29.3755,0.64941,1.14829,0.98292,0.94455,0.38922,0.46779,0.41837,0.49134,1.39817,0.85237,0.00743074,0.00743074,0.0284307
5,36.1108,0.70046,1.14856,1.00636,0.91836,0.42515,0.4555,0.40907,0.43789,1.3785,0.86021,0.00911592,0.00911592,0.0101159
6,42.9407,0.6786,1.11508,0.99641,0.93045,0.44472,0.47132,0.37771,0.56557,1.03297,0.87173,0.00901,0.00901,0.00901
7,49.6818,0.70215,1.0654,1.00535,0.93503,0.46106,0.4694,0.42287,0.46965,0.79457,0.86717,0.008812,0.008812,0.008812
8,56.9137,0.67959,1.04687,1.00199,0.93075,0.44697,0.45736,0.40739,0.48577,0.8692,0.89146,0.008614,0.008614,0.008614
9,64.1428,0.64466,0.98803,1.00351,0.92377,0.46602,0.46583,0.41987,0.46132,0.74757,0.86764,0.008416,0.008416,0.008416
10,71.3492,0.65979,0.97045,1.0037,0.94572,0.4521,0.46671,0.42288,0.46153,0.73086,0.85063,0.008218,0.008218,0.008218
11,78.6159,0.62263,0.94741,0.99108,0.91168,0.47605,0.46617,0.41505,0.44977,0.78833,0.84811,0.00802,0.00802,0.00802
12,85.9105,0.63142,0.88945,0.99398,0.92464,0.44611,0.46202,0.42174,0.40312,0.70276,0.83841,0.007822,0.007822,0.007822
13,93.1228,0.61765,0.87794,0.99173,0.44545,0.62176,0.47259,0.42771,0.40584,0.7495,0.8694,0.007624,0.007624,0.007624
14,100.461,0.60221,0.82522,0.97709,0.95435,0.41722,0.49299,0.41633,0.46434,0.71923,0.88777,0.007426,0.007426,0.007426
15,107.882,0.58321,0.79968,0.98371,0.90363,0.4521,0.49541,0.42487,0.40763,0.69929,0.85431,0.007228,0.007228,0.007228
