epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3307,0.45022,0.69633,0.93479,0.58361,0.87817,0.64675,0.54463,0.30425,0.66811,0.82881,0.0021,0.0021,0.0811
2,17.7883,0.43206,0.64317,0.92714,0.89569,0.73783,0.83817,0.79858,0.30316,0.64873,0.80856,0.00421486,0.00421486,0.0612149
3,25.2319,0.48146,0.63955,0.92893,0.87738,0.89284,0.86922,0.78625,0.32635,0.5421,0.81662,0.0062426,0.0062426,0.0412426
4,32.6095,0.49732,0.64139,0.94522,0.81761,0.8209,0.80125,0.69397,0.44603,0.66403,0.85044,0.00818322,0.00818322,0.0211832
5,40.0566,0.54851,0.69166,0.96742,0.59417,0.86366,0.63895,0.54908,0.42463,0.66505,0.86241,0.009208,0.009208,0.009208
6,47.5394,0.55873,0.66022,0.96121,0.91922,0.81575,0.84683,0.79505,0.38583,0.5533,0.83405,0.00901,0.00901,0.00901
7,55.3906,0.56884,0.6773,0.96969,0.91016,0.80078,0.83103,0.79759,0.38552,0.75161,0.83373,0.008812,0.008812,0.008812
8,63.3346,0.57268,0.68507,0.96678,0.95332,0.76997,0.84563,0.78208,0.39431,0.67781,0.83918,0.008614,0.008614,0.008614
9,71.1636,0.52572,0.6731,0.95543,0.91106,0.7948,0.85192,0.76661,0.40064,0.60411,0.83538,0.008416,0.008416,0.008416
10,79.5042,0.55374,0.66571,0.94767,0.91045,0.75732,0.85478,0.70247,0.38475,0.64659,0.86537,0.008218,0.008218,0.008218
11,88.0478,0.53652,0.64521,0.94329,0.90292,0.83971,0.85875,0.79177,0.38023,0.5817,0.84099,0.00802,0.00802,0.00802
12,96.5955,0.51153,0.66226,0.94371,0.88313,0.78282,0.84912,0.74788,0.39407,0.71149,0.85775,0.007822,0.007822,0.007822
13,105.456,0.51167,0.61867,0.95121,0.83134,0.78533,0.85117,0.77297,0.44674,0.6363,0.86337,0.007624,0.007624,0.007624
14,114.339,0.50921,0.61089,0.9444,0.89477,0.811,0.85665,0.83478,0.33064,0.53793,0.8326,0.007426,0.007426,0.007426
15,122.904,0.48921,0.59915,0.94159,0.89446,0.84663,0.87518,0.81046,0.35359,0.59548,0.82571,0.007228,0.007228,0.007228
16,131.598,0.51741,0.60411,0.94523,0.83494,0.87517,0.8748,0.78911,0.37321,0.55355,0.82873,0.00703,0.00703,0.00703
17,140.412,0.50473,0.59157,0.93836,0.84583,0.87819,0.8768,0.79814,0.36876,0.56227,0.81902,0.006832,0.006832,0.006832
18,149.404,0.49045,0.5831,0.94828,0.86437,0.80966,0.82,0.75537,0.40733,0.62719,0.86911,0.006634,0.006634,0.006634
19,158.076,0.50538,0.59941,0.94349,0.78288,0.80426,0.77264,0.73509,0.32785,0.6109,0.81665,0.006436,0.006436,0.006436
20,166.556,0.47137,0.57291,0.94234,0.84205,0.87269,0.8806,0.81569,0.34314,0.57216,0.83772,0.006238,0.006238,0.006238
21,175.222,0.48426,0.57267,0.94506,0.87853,0.78812,0.86574,0.79409,0.32585,0.64756,0.8279,0.00604,0.00604,0.00604
22,183.774,0.44307,0.53794,0.9254,0.92962,0.80677,0.88776,0.82887,0.2929,0.52623,0.80448,0.005842,0.005842,0.005842
23,192.515,0.46027,0.56134,0.93709,0.86917,0.81083,0.84371,0.80294,0.34068,0.57773,0.81547,0.005644,0.005644,0.005644
24,201.181,0.46285,0.55813,0.93785,0.94524,0.80856,0.84744,0.66596,0.34695,0.59872,0.8352,0.005446,0.005446,0.005446
25,210.127,0.45184,0.54379,0.92302,0.91521,0.82014,0.85739,0.83687,0.29096,0.48642,0.81312,0.005248,0.005248,0.005248
26,218.906,0.43184,0.52771,0.91978,0.94424,0.78146,0.87156,0.81817,0.28798,0.57695,0.80502,0.00505,0.00505,0.00505
27,227.413,0.42315,0.5252,0.91816,0.89284,0.81575,0.85738,0.79465,0.30417,0.55777,0.80901,0.004852,0.004852,0.004852
28,236.252,0.42775,0.52503,0.91859,0.88025,0.77982,0.8405,0.80605,0.30309,0.60041,0.81815,0.004654,0.004654,0.004654
29,244.911,0.44364,0.51101,0.94106,0.92349,0.78495,0.86969,0.82578,0.28377,0.53957,0.80413,0.004456,0.004456,0.004456
30,253.744,0.41153,0.48392,0.9162,0.92109,0.84224,0.88562,0.81829,0.29577,0.5285,0.81366,0.004258,0.004258,0.004258
31,262.472,0.39862,0.51476,0.90977,0.9108,0.84523,0.87586,0.80742,0.2808,0.52345,0.8144,0.00406,0.00406,0.00406
32,271.173,0.37945,0.46272,0.89857,0.88503,0.87619,0.91321,0.85538,0.2651,0.46075,0.80227,0.003862,0.003862,0.003862
33,279.799,0.41056,0.47561,0.91766,0.88913,0.88049,0.89167,0.83706,0.28273,0.45911,0.80226,0.003664,0.003664,0.003664
34,288.538,0.3917,0.48515,0.92148,0.88766,0.8632,0.91234,0.84955,0.26801,0.46341,0.80652,0.003466,0.003466,0.003466
35,297.086,0.40198,0.46328,0.91904,0.88709,0.85721,0.88066,0.83869,0.27075,0.50971,0.80799,0.003268,0.003268,0.003268
36,305.776,0.38693,0.44423,0.91017,0.89832,0.84823,0.91262,0.83909,0.26656,0.46476,0.80558,0.00307,0.00307,0.00307
37,315.013,0.37448,0.45503,0.90537,0.89283,0.85765,0.89097,0.83979,0.25916,0.45202,0.79791,0.002872,0.002872,0.002872
38,324.019,0.35464,0.4472,0.88908,0.88388,0.88072,0.87886,0.82381,0.24983,0.46519,0.79402,0.002674,0.002674,0.002674
39,333.078,0.35829,0.43384,0.89679,0.89429,0.86371,0.8725,0.83321,0.24814,0.51314,0.80011,0.002476,0.002476,0.002476
40,342.144,0.35646,0.41566,0.88987,0.89753,0.87502,0.89067,0.84253,0.24223,0.45967,0.79486,0.002278,0.002278,0.002278
41,350.226,0.24148,0.36689,0.82633,0.94433,0.8123,0.89662,0.83464,0.25292,0.51009,0.78557,0.00208,0.00208,0.00208
42,358.987,0.22744,0.34437,0.80911,0.87623,0.88715,0.87431,0.81597,0.24445,0.4803,0.78423,0.001882,0.001882,0.001882
43,367.641,0.23676,0.33836,0.81331,0.87146,0.89576,0.88326,0.82691,0.23375,0.43518,0.78052,0.001684,0.001684,0.001684
44,375.917,0.22709,0.33227,0.81306,0.88842,0.88544,0.88948,0.8434,0.21999,0.43926,0.78059,0.001486,0.001486,0.001486
45,384.393,0.21966,0.31932,0.813,0.88406,0.8811,0.89061,0.82512,0.22281,0.44647,0.78446,0.001288,0.001288,0.001288
46,392.722,0.20576,0.30718,0.80765,0.9502,0.85368,0.8834,0.84101,0.22938,0.49511,0.78861,0.00109,0.00109,0.00109
47,401.235,0.21832,0.30409,0.82017,0.90569,0.85421,0.88268,0.84279,0.21658,0.4786,0.78303,0.000892,0.000892,0.000892
48,409.657,0.21673,0.30135,0.82365,0.94217,0.80155,0.85122,0.8363,0.20735,0.45466,0.77819,0.000694,0.000694,0.000694
49,418.471,0.20548,0.29224,0.81879,0.93523,0.81116,0.8508,0.83601,0.20818,0.44723,0.77883,0.000496,0.000496,0.000496
50,427.011,0.20318,0.2815,0.80616,0.93228,0.81864,0.85436,0.82461,0.20704,0.44831,0.78035,0.000298,0.000298,0.000298
