epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.21537,2.43337,3.53523,3.0144,0.00689,0.78022,0.25992,0.1188,1.9562,3.13879,2.49825,4e-05,4e-05,0.09804
2,7.86036,1.71749,3.11523,2.15315,0.00549,0.66484,0.1179,0.03379,2.13779,3.21886,2.77102,9.901e-05,9.901e-05,0.095099
3,11.6187,1.46643,2.75888,1.75777,0.00522,0.59341,0.12346,0.0448,2.03359,3.25404,2.95872,0.000156832,0.000156832,0.0921568
4,15.3266,1.1157,2.31289,1.41407,0.00552,0.59341,0.19217,0.08,2.00445,3.21405,2.86948,0.000213466,0.000213466,0.0892135
5,19.25,0.87712,1.99475,1.26015,0.00572,0.59341,0.19117,0.08603,1.87253,3.15226,2.61827,0.000268912,0.000268912,0.0862689
6,23.174,0.81238,1.83876,1.18649,0.00622,0.63187,0.24862,0.10995,1.70478,3.04366,2.36934,0.00032317,0.00032317,0.0833232
7,29.616,0.71066,1.81817,1.16414,0.00637,0.63187,0.26464,0.13298,1.72667,3.07555,2.33117,0.00037624,0.00037624,0.0803762
8,35.9901,0.54425,1.52992,1.04212,0.00602,0.63187,0.30293,0.16535,1.71031,2.99166,2.18828,0.000428122,0.000428122,0.0774281
9,42.2991,0.52284,1.19674,0.99571,0.00602,0.63187,0.30293,0.16535,1.71031,2.99166,2.18828,0.000478816,0.000478816,0.0744788
10,48.5579,0.51008,1.18016,0.97483,0.03691,0.63187,0.33385,0.17972,1.7794,2.86814,2.12373,0.000528322,0.000528322,0.0715283
11,55.0619,0.42692,0.97104,0.91765,0.03691,0.63187,0.33385,0.17972,1.7794,2.86814,2.12373,0.00057664,0.00057664,0.0685766
12,61.8002,0.39202,0.98016,0.91163,1,0.07214,0.52789,0.28941,1.51818,2.75135,1.94566,0.00062377,0.00062377,0.0656238
13,68.1254,0.3404,0.8763,0.93495,1,0.07214,0.52789,0.28941,1.51818,2.75135,1.94566,0.000669712,0.000669712,0.0626697
14,74.6478,0.32692,0.86519,0.86964,1,0.14289,0.61793,0.37522,1.24314,2.45933,1.67764,0.000714466,0.000714466,0.0597145
15,81.0155,0.33401,0.68561,0.88486,1,0.14289,0.61793,0.37522,1.24314,2.45933,1.67764,0.000758032,0.000758032,0.056758
16,87.2442,0.32786,0.66958,0.87821,1,0.14289,0.61793,0.37522,1.24314,2.45933,1.67764,0.00080041,0.00080041,0.0538004
17,93.5614,0.34219,0.67328,0.85581,0.93954,0.40519,0.6876,0.4352,1.25012,2.29618,1.61881,0.0008416,0.0008416,0.0508416
18,100.04,0.29945,0.66599,0.87962,0.93954,0.40519,0.6876,0.4352,1.25012,2.29618,1.61881,0.000881602,0.000881602,0.0478816
19,106.57,0.32355,0.67269,0.85921,0.93954,0.40519,0.6876,0.4352,1.25012,2.29618,1.61881,0.000920416,0.000920416,0.0449204
20,112.525,0.32601,0.63986,0.85732,0.92981,0.45078,0.69907,0.38904,1.44546,2.13297,1.87386,0.000958042,0.000958042,0.041958
21,118.685,0.27647,0.57858,0.84762,0.92981,0.45078,0.69907,0.38904,1.44546,2.13297,1.87386,0.00099448,0.00099448,0.0389945
22,124.921,0.27013,0.60038,0.82854,0.92981,0.45078,0.69907,0.38904,1.44546,2.13297,1.87386,0.00102973,0.00102973,0.0360297
23,131.245,0.27748,0.61569,0.87965,0.92981,0.45078,0.69907,0.38904,1.44546,2.13297,1.87386,0.00106379,0.00106379,0.0330638
24,138.166,0.28674,0.59999,0.8584,0.94184,0.55966,0.71124,0.4421,1.13416,2.17948,1.47472,0.00109667,0.00109667,0.0300967
25,144.175,0.25572,0.57451,0.82732,0.94184,0.55966,0.71124,0.4421,1.13416,2.17948,1.47472,0.00112835,0.00112835,0.0271284
26,150.273,0.28144,0.56839,0.87117,0.94184,0.55966,0.71124,0.4421,1.13416,2.17948,1.47472,0.00115885,0.00115885,0.0241588
27,156.611,0.26132,0.59536,0.8405,0.94184,0.55966,0.71124,0.4421,1.13416,2.17948,1.47472,0.00118816,0.00118816,0.0211882
28,162.88,0.24294,0.57645,0.87527,0.94184,0.55966,0.71124,0.4421,1.13416,2.17948,1.47472,0.00121628,0.00121628,0.0182163
29,169.592,0.28405,0.56778,0.83777,0.92779,0.67033,0.81031,0.52652,1.04383,1.92568,1.38715,0.00124322,0.00124322,0.0152432
30,175.801,0.27703,0.53409,0.84863,0.92779,0.67033,0.81031,0.52652,1.04383,1.92568,1.38715,0.00126896,0.00126896,0.012269
31,181.77,0.28426,0.54482,0.85899,0.92779,0.67033,0.81031,0.52652,1.04383,1.92568,1.38715,0.00129352,0.00129352,0.00929352
32,187.917,0.31184,0.56084,0.82529,0.92779,0.67033,0.81031,0.52652,1.04383,1.92568,1.38715,0.00131689,0.00131689,0.00631689
33,194.319,0.30414,0.57017,0.8464,0.92779,0.67033,0.81031,0.52652,1.04383,1.92568,1.38715,0.00133907,0.00133907,0.00333907
34,200.524,0.27936,0.53019,0.81707,0.84334,0.74725,0.78356,0.55255,1.02616,1.42154,1.42623,0.0013466,0.0013466,0.0013466
35,206.46,0.26876,0.50313,0.81552,0.84334,0.74725,0.78356,0.55255,1.02616,1.42154,1.42623,0.0013268,0.0013268,0.0013268
36,212.883,0.2524,0.47417,0.86998,0.84334,0.74725,0.78356,0.55255,1.02616,1.42154,1.42623,0.001307,0.001307,0.001307
37,218.972,0.25335,0.50267,0.82455,0.84334,0.74725,0.78356,0.55255,1.02616,1.42154,1.42623,0.0012872,0.0012872,0.0012872
38,225.203,0.26939,0.52061,0.83047,0.84334,0.74725,0.78356,0.55255,1.02616,1.42154,1.42623,0.0012674,0.0012674,0.0012674
39,231.079,0.25198,0.48623,0.84096,0.84334,0.74725,0.78356,0.55255,1.02616,1.42154,1.42623,0.0012476,0.0012476,0.0012476
40,237.686,0.25261,0.49229,0.82043,0.828,1,0.94453,0.63816,1.03027,1.35688,1.29073,0.0012278,0.0012278,0.0012278
41,244.066,0.24087,0.49632,0.85192,0.828,1,0.94453,0.63816,1.03027,1.35688,1.29073,0.001208,0.001208,0.001208
