epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.75731,2.28612,3.24271,2.35034,0.01051,0.75,0.31316,0.13097,1.7812,2.97605,1.71516,0,0,0.1
2,3.43899,1.96722,2.99376,1.91074,0.01006,0.75,0.31534,0.1159,1.67873,2.94847,1.64483,1.97525e-05,1.97525e-05,0.0990198
3,4.90064,1.36429,2.79626,1.48104,0.01006,0.75,0.31534,0.1159,1.67873,2.94847,1.64483,3.901e-05,3.901e-05,0.098039
4,6.28487,1.36429,2.79626,1.48104,0.00783,0.5,0.3368,0.15162,1.48763,2.91553,1.58875,5.77725e-05,5.77725e-05,0.0970578
5,7.60415,1.17899,2.61134,1.25415,0.00783,0.5,0.3368,0.15162,1.48763,2.91553,1.58875,7.604e-05,7.604e-05,0.096076
6,9.10098,1.17899,2.61134,1.25415,0.00783,0.5,0.3368,0.15162,1.48763,2.91553,1.58875,9.38125e-05,9.38125e-05,0.0950938
7,10.4739,1.17899,2.61134,1.25415,0.00748,0.5,0.33733,0.1665,1.39253,2.90359,1.49164,0.00011109,0.00011109,0.0941111
8,11.807,1.08022,2.48168,1.15809,0.00748,0.5,0.33733,0.1665,1.39253,2.90359,1.49164,0.000127872,0.000127872,0.0931279
9,13.3278,1.08022,2.48168,1.15809,0.00748,0.5,0.33733,0.1665,1.39253,2.90359,1.49164,0.00014416,0.00014416,0.0921442
10,14.7332,1.08022,2.48168,1.15809,0.00748,0.5,0.33733,0.1665,1.39253,2.90359,1.49164,0.000159952,0.000159952,0.09116
11,16.3495,1.08022,2.48168,1.15809,0.00783,0.5,0.35496,0.191,1.28041,2.78497,1.36567,0.00017525,0.00017525,0.0901753
12,17.9197,0.94939,1.93427,1.03298,0.00783,0.5,0.35496,0.191,1.28041,2.78497,1.36567,0.000190053,0.000190053,0.0891901
13,19.4031,0.94939,1.93427,1.03298,0.00783,0.5,0.35496,0.191,1.28041,2.78497,1.36567,0.00020436,0.00020436,0.0882044
14,20.9231,0.94939,1.93427,1.03298,0.00783,0.5,0.35496,0.191,1.28041,2.78497,1.36567,0.000218173,0.000218173,0.0872182
15,22.4332,0.94939,1.93427,1.03298,0.00783,0.5,0.35496,0.191,1.28041,2.78497,1.36567,0.00023149,0.00023149,0.0862315
16,23.8041,0.94939,1.93427,1.03298,0.00783,0.5,0.35496,0.191,1.28041,2.78497,1.36567,0.000244313,0.000244313,0.0852443
17,25.1851,0.94939,1.93427,1.03298,0.01032,0.75,0.367,0.23426,1.28286,2.64181,1.32651,0.00025664,0.00025664,0.0842566
18,26.5654,0.65295,1.55445,0.87152,0.01032,0.75,0.367,0.23426,1.28286,2.64181,1.32651,0.000268473,0.000268473,0.0832685
19,27.9318,0.65295,1.55445,0.87152,0.01032,0.75,0.367,0.23426,1.28286,2.64181,1.32651,0.00027981,0.00027981,0.0822798
20,29.3615,0.65295,1.55445,0.87152,0.01032,0.75,0.367,0.23426,1.28286,2.64181,1.32651,0.000290653,0.000290653,0.0812907
21,30.7869,0.65295,1.55445,0.87152,0.01032,0.75,0.367,0.23426,1.28286,2.64181,1.32651,0.000301,0.000301,0.080301
22,32.2833,0.65295,1.55445,0.87152,0.01032,0.75,0.367,0.23426,1.28286,2.64181,1.32651,0.000310852,0.000310852,0.0793109
23,33.5743,0.65295,1.55445,0.87152,0.01032,0.75,0.367,0.23426,1.28286,2.64181,1.32651,0.00032021,0.00032021,0.0783202
24,34.9396,0.65295,1.55445,0.87152,0.01032,0.75,0.367,0.23426,1.28286,2.64181,1.32651,0.000329072,0.000329072,0.0773291
25,36.3797,0.65295,1.55445,0.87152,0.51237,0.5,0.5037,0.31028,1.23839,2.53586,1.16534,0.00033744,0.00033744,0.0763374
26,37.5929,0.56478,1.19794,0.80073,0.51237,0.5,0.5037,0.31028,1.23839,2.53586,1.16534,0.000345313,0.000345313,0.0753453
27,38.8066,0.56477,1.19794,0.80072,0.51237,0.5,0.5037,0.31028,1.23839,2.53586,1.16534,0.00035269,0.00035269,0.0743527
28,40.2511,0.56477,1.19794,0.80072,0.51237,0.5,0.5037,0.31028,1.23839,2.53586,1.16534,0.000359573,0.000359573,0.0733596
29,41.6719,0.56478,1.19794,0.80073,0.51237,0.5,0.5037,0.31028,1.23839,2.53586,1.16534,0.00036596,0.00036596,0.072366
30,43.0705,0.56477,1.19794,0.80072,0.51237,0.5,0.5037,0.31028,1.23839,2.53586,1.16534,0.000371852,0.000371852,0.0713719
31,44.4515,0.56478,1.19794,0.80073,0.51237,0.5,0.5037,0.31028,1.23839,2.53586,1.16534,0.00037725,0.00037725,0.0703773
32,45.7929,0.56478,1.19794,0.80073,0.51237,0.5,0.5037,0.31028,1.23839,2.53586,1.16534,0.000382153,0.000382153,0.0693822
33,47.0424,0.56477,1.19794,0.80072,0.51237,0.5,0.5037,0.31028,1.23839,2.53586,1.16534,0.00038656,0.00038656,0.0683866
34,48.3605,0.56478,1.19794,0.80073,0.51237,0.5,0.5037,0.31028,1.23839,2.53586,1.16534,0.000390473,0.000390473,0.0673905
35,49.6518,0.56477,1.19794,0.80072,0.51237,0.5,0.5037,0.31028,1.23839,2.53586,1.16534,0.00039389,0.00039389,0.0663939
36,51.0516,0.56478,1.19794,0.80073,0.51237,0.5,0.5037,0.31028,1.23839,2.53586,1.16534,0.000396812,0.000396812,0.0653968
37,52.4577,0.56477,1.19794,0.80072,0.90336,0.35014,0.58448,0.32622,1.07853,2.29711,1.00607,0.00039924,0.00039924,0.0643992
38,53.7142,0.43828,1.05537,0.73166,0.90336,0.35014,0.58448,0.32622,1.07853,2.29711,1.00607,0.000401172,0.000401172,0.0634012
39,55.0057,0.43828,1.05537,0.73166,0.90336,0.35014,0.58448,0.32622,1.07853,2.29711,1.00607,0.00040261,0.00040261,0.0624026
40,56.3639,0.43828,1.05537,0.73166,0.90336,0.35014,0.58448,0.32622,1.07853,2.29711,1.00607,0.000403552,0.000403552,0.0614036
41,57.6999,0.43828,1.05537,0.73166,0.90336,0.35014,0.58448,0.32622,1.07853,2.29711,1.00607,0.000404,0.000404,0.060404
42,58.931,0.43828,1.05537,0.73166,0.90336,0.35014,0.58448,0.32622,1.07853,2.29711,1.00607,0.000403953,0.000403953,0.059404
43,60.3626,0.43828,1.05537,0.73166,0.90336,0.35014,0.58448,0.32622,1.07853,2.29711,1.00607,0.00040341,0.00040341,0.0584034
44,61.8454,0.43828,1.05537,0.73166,0.90336,0.35014,0.58448,0.32622,1.07853,2.29711,1.00607,0.000402372,0.000402372,0.0574024
45,63.2723,0.43828,1.05537,0.73166,0.90336,0.35014,0.58448,0.32622,1.07853,2.29711,1.00607,0.00040084,0.00040084,0.0564008
46,64.7661,0.43828,1.05537,0.73166,0.90336,0.35014,0.58448,0.32622,1.07853,2.29711,1.00607,0.000398813,0.000398813,0.0553988
47,66.2203,0.43828,1.05537,0.73166,0.90336,0.35014,0.58448,0.32622,1.07853,2.29711,1.00607,0.00039629,0.00039629,0.0543963
48,67.4313,0.43828,1.05537,0.73166,0.90336,0.35014,0.58448,0.32622,1.07853,2.29711,1.00607,0.000393273,0.000393273,0.0533933
49,68.9454,0.43828,1.05537,0.73166,0.90336,0.35014,0.58448,0.32622,1.07853,2.29711,1.00607,0.00038976,0.00038976,0.0523898
50,70.3539,0.43828,1.05537,0.73166,0.90336,0.35014,0.58448,0.32622,1.07853,2.29711,1.00607,0.000385752,0.000385752,0.0513858
