epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.14977,2.75425,4.85138,3.55955,0.02899,0.75,0.1037,0.03946,2.44148,4.03558,3.07045,1.5e-05,1.5e-05,0.099015
2,6.34848,2.31152,4.41152,2.61838,0.005,0.5,0.16886,0.07268,2.12649,3.70379,2.64147,4.42575e-05,4.42575e-05,0.0970443
3,9.16168,1.68198,3.74112,2.02714,0.005,0.5,0.16886,0.07268,2.12649,3.70379,2.64147,7.2525e-05,7.2525e-05,0.0950725
4,11.9022,1.68198,3.74112,2.02714,0.00417,0.41667,0.23786,0.09112,1.82299,3.48622,2.40023,9.98025e-05,9.98025e-05,0.0930998
5,14.6394,1.31431,3.02913,1.62767,0.00417,0.41667,0.23786,0.09112,1.82299,3.48622,2.40023,0.00012609,0.00012609,0.0911261
6,17.3423,1.31431,3.02913,1.62767,0.00417,0.41667,0.23786,0.09112,1.82299,3.48622,2.40023,0.000151388,0.000151388,0.0891514
7,20.0306,1.31431,3.02913,1.62767,0.00417,0.41667,0.23786,0.09112,1.82299,3.48622,2.40023,0.000175695,0.000175695,0.0871757
8,22.7723,1.31431,3.02913,1.62767,0.00417,0.41667,0.23786,0.09112,1.82299,3.48622,2.40023,0.000199012,0.000199012,0.085199
9,25.6197,1.31431,3.02913,1.62767,0.00417,0.41667,0.23786,0.09112,1.82299,3.48622,2.40023,0.00022134,0.00022134,0.0832213
10,28.357,1.31431,3.02913,1.62767,0.00417,0.41667,0.23786,0.09112,1.82299,3.48622,2.40023,0.000242678,0.000242678,0.0812427
11,31.2577,1.31431,3.02913,1.62767,0.005,0.5,0.47083,0.24153,1.45863,3.18473,1.91235,0.000263025,0.000263025,0.079263
12,34.3063,1.07014,2.42246,1.31854,0.005,0.5,0.47083,0.24153,1.45863,3.18473,1.91235,0.000282383,0.000282383,0.0772824
13,37.2403,1.07014,2.42246,1.31854,0.005,0.5,0.47083,0.24153,1.45863,3.18473,1.91235,0.00030075,0.00030075,0.0753007
14,40.1322,1.07014,2.42246,1.31854,0.005,0.5,0.47083,0.24153,1.45863,3.18473,1.91235,0.000318128,0.000318128,0.0733181
15,43.0766,1.07014,2.42246,1.31854,0.005,0.5,0.47083,0.24153,1.45863,3.18473,1.91235,0.000334515,0.000334515,0.0713345
16,45.9571,1.07014,2.42246,1.31854,0.005,0.5,0.47083,0.24153,1.45863,3.18473,1.91235,0.000349912,0.000349912,0.0693499
17,48.7667,1.07014,2.42246,1.31854,0.005,0.5,0.47083,0.24153,1.45863,3.18473,1.91235,0.00036432,0.00036432,0.0673643
18,51.612,1.07014,2.42246,1.31854,0.005,0.5,0.47083,0.24153,1.45863,3.18473,1.91235,0.000377738,0.000377738,0.0653777
19,54.378,1.07014,2.42246,1.31854,0.005,0.5,0.47083,0.24153,1.45863,3.18473,1.91235,0.000390165,0.000390165,0.0633902
20,57.5357,1.07014,2.42246,1.31854,0.005,0.5,0.47083,0.24153,1.45863,3.18473,1.91235,0.000401603,0.000401603,0.0614016
21,60.4562,1.07014,2.42246,1.31854,0.005,0.5,0.47083,0.24153,1.45863,3.18473,1.91235,0.00041205,0.00041205,0.0594121
22,63.4374,1.07014,2.42246,1.31854,0.005,0.5,0.47083,0.24153,1.45863,3.18473,1.91235,0.000421508,0.000421508,0.0574215
23,66.1491,1.07014,2.42246,1.31854,0.005,0.5,0.47083,0.24153,1.45863,3.18473,1.91235,0.000429975,0.000429975,0.05543
24,69.2312,1.07014,2.42246,1.31854,0.005,0.5,0.47083,0.24153,1.45863,3.18473,1.91235,0.000437453,0.000437453,0.0534375
25,71.9512,1.07014,2.42246,1.31854,0.005,0.5,0.47083,0.24153,1.45863,3.18473,1.91235,0.00044394,0.00044394,0.0514439
26,74.7982,1.07014,2.42246,1.31854,0.005,0.5,0.47083,0.24153,1.45863,3.18473,1.91235,0.000449437,0.000449437,0.0494494
27,77.6253,1.07014,2.42246,1.31854,0.005,0.5,0.47083,0.24153,1.45863,3.18473,1.91235,0.000453945,0.000453945,0.0474539
28,80.562,1.07014,2.42246,1.31854,0.005,0.5,0.47083,0.24153,1.45863,3.18473,1.91235,0.000457462,0.000457462,0.0454575
29,83.3776,1.07014,2.42246,1.31854,0.005,0.5,0.47083,0.24153,1.45863,3.18473,1.91235,0.00045999,0.00045999,0.04346
30,86.3449,1.07014,2.42246,1.31854,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.000461527,0.000461527,0.0414615
31,89.2662,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.000462075,0.000462075,0.0394621
32,92.1066,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.000461632,0.000461632,0.0374616
33,94.9688,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.0004602,0.0004602,0.0354602
34,97.8871,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.000457777,0.000457777,0.0334578
35,100.752,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.000454365,0.000454365,0.0314544
36,103.547,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.000449962,0.000449962,0.02945
37,106.32,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.00044457,0.00044457,0.0274446
38,109.273,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.000438187,0.000438187,0.0254382
39,111.977,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.000430815,0.000430815,0.0234308
40,114.777,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.000422452,0.000422452,0.0214225
41,118.083,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.0004131,0.0004131,0.0194131
42,120.96,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.000402757,0.000402757,0.0174028
43,123.827,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.000391425,0.000391425,0.0153914
44,126.658,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.000379103,0.000379103,0.0133791
45,129.575,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.00036579,0.00036579,0.0113658
46,132.534,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.000351488,0.000351488,0.00935149
47,135.318,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.000336195,0.000336195,0.0073362
48,138.103,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.000319913,0.000319913,0.00531991
49,141.133,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.00030264,0.00030264,0.00330264
50,144.02,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.000284378,0.000284378,0.00128438
51,147.012,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.0002625,0.0002625,0.0002625
52,149.881,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.00023775,0.00023775,0.00023775
53,152.715,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.000213,0.000213,0.000213
54,155.835,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.00018825,0.00018825,0.00018825
55,158.728,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.0001635,0.0001635,0.0001635
56,161.49,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.00013875,0.00013875,0.00013875
57,164.368,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,0.000114,0.000114,0.000114
58,167.257,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,8.925e-05,8.925e-05,8.925e-05
59,169.941,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,6.45e-05,6.45e-05,6.45e-05
60,173.006,0.72185,1.90254,1.14412,0.90748,0.37073,0.43717,0.28645,1.13716,2.59744,1.51253,3.975e-05,3.975e-05,3.975e-05
