epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0607,0.50509,0.54991,0.98781,0.96221,0.88367,0.97889,0.88474,0.46279,0.42969,0.96128,0.00015003,0.00015003,0.00015003
2,29.1657,0.49479,0.49746,0.98928,0.95566,0.91703,0.97748,0.69312,0.41691,0.4898,0.83509,0.00031281,0.00031281,0.00031281
3,40.5833,0.47434,0.49069,0.94972,0.94035,0.92879,0.98279,0.5815,0.42614,0.46446,0.85778,0.000471465,0.000471465,0.000471465
4,51.1927,0.484,0.49554,0.95876,0.93979,0.88915,0.97817,0.55099,0.4473,0.50131,0.85046,0.000625994,0.000625994,0.000625994
5,61.8181,0.50263,0.49846,0.97573,0.91769,0.85447,0.97884,0.50949,0.41851,0.51182,0.83261,0.000776397,0.000776397,0.000776397
6,73.298,0.49631,0.49437,0.94966,0.87841,0.86619,0.96581,0.5369,0.46563,0.49516,0.87472,0.000922674,0.000922674,0.000922674
7,83.9178,0.51382,0.52028,0.95428,0.85938,0.93352,0.97386,0.5376,0.46718,0.46157,0.86899,0.00106483,0.00106483,0.00106483
8,94.5534,0.4899,0.45002,0.93962,0.95746,0.92464,0.9834,0.59186,0.44383,0.49163,0.81774,0.00120285,0.00120285,0.00120285
9,106.32,0.51474,0.48875,0.95421,0.92935,0.95108,0.98137,0.662,0.44133,0.48518,0.83674,0.00133675,0.00133675,0.00133675
10,117.197,0.52126,0.48299,0.95566,0.91125,0.96,0.98105,0.78695,0.44706,0.4724,0.83114,0.00146652,0.00146652,0.00146652
11,128.355,0.50431,0.48602,0.97119,0.65246,0.96773,0.97939,0.78,0.49435,0.48252,0.85011,0.00146071,0.00146071,0.00146071
12,139.202,0.51159,0.48474,0.96493,0.90625,0.89023,0.97852,0.54565,0.48298,0.54643,0.8464,0.00144008,0.00144008,0.00144008
13,150.182,0.51571,0.49373,0.96337,0.82331,0.81914,0.96966,0.52949,0.53105,0.65895,0.91582,0.00141945,0.00141945,0.00141945
14,161.336,0.5491,0.47936,0.98674,0.70611,0.87569,0.96633,0.81998,0.44993,0.587,0.83886,0.00139882,0.00139882,0.00139882
15,171.987,0.52848,0.48197,0.95805,0.6002,0.94287,0.9727,0.59765,0.46442,0.63967,0.83666,0.00137819,0.00137819,0.00137819
16,183.688,0.48006,0.44433,0.94227,0.49595,0.96,0.96582,0.71235,0.43256,0.67064,0.84394,0.00135756,0.00135756,0.00135756
17,194.429,0.49878,0.47514,0.96267,0.53883,0.915,0.96003,0.67278,0.48052,0.73657,0.8531,0.00133693,0.00133693,0.00133693
18,205.793,0.50295,0.48435,0.9571,0.69978,0.86854,0.73051,0.59216,0.42756,0.46617,0.82948,0.0013163,0.0013163,0.0013163
19,217.128,0.48896,0.47332,0.95327,0.61658,0.95,0.64878,0.53983,0.43598,0.44731,0.83769,0.00129568,0.00129568,0.00129568
20,227.793,0.48255,0.4679,0.94045,0.61347,0.97,0.64904,0.55047,0.4044,0.42597,0.82621,0.00127505,0.00127505,0.00127505
21,239.298,0.48191,0.45264,0.94908,0.57961,0.9769,0.65102,0.54927,0.39469,0.42222,0.83526,0.00125442,0.00125442,0.00125442
