epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.76977,0.7267,2.27241,1.09537,0.96783,0.22306,0.44617,0.39666,0.4575,1.99226,0.84985,0.00031673,0.00031673,0.00031673
2,13.3996,0.64192,1.21117,1.00941,0.91912,0.3773,0.42755,0.36027,0.59432,1.42063,0.92542,0.000643694,0.000643694,0.000643694
3,18.8916,0.64995,1.10696,1.01632,0.94818,0.35583,0.41718,0.35451,0.59545,1.2039,0.97022,0.000964056,0.000964056,0.000964056
4,24.3855,0.65111,1.09295,0.99433,0.88109,0.40184,0.4266,0.36057,0.62434,0.94097,0.96434,0.00127782,0.00127782,0.00127782
5,29.9004,0.64463,1.06886,1.00367,0.88766,0.42331,0.43451,0.36306,0.61223,0.92331,0.95323,0.00158498,0.00158498,0.00158498
6,35.1855,0.64075,1.03173,1.00765,0.85393,0.41411,0.40358,0.35162,0.54642,1.13469,0.92151,0.00158448,0.00158448,0.00158448
7,40.4036,0.64143,0.95153,1.02551,0.88246,0.46933,0.44244,0.38451,0.54944,0.94021,0.91639,0.00156798,0.00156798,0.00156798
8,45.7448,0.65285,0.94872,1.00891,0.88041,0.43865,0.41585,0.35809,0.52447,0.86474,0.90693,0.00155148,0.00155148,0.00155148
9,51.0464,0.61204,0.89717,1.00477,0.86458,0.44596,0.42148,0.3741,0.47497,0.85413,0.90655,0.00153497,0.00153497,0.00153497
10,56.3092,0.6222,0.87658,1.00142,0.91065,0.43705,0.45075,0.40187,0.48136,0.6802,0.89386,0.00151847,0.00151847,0.00151847
11,61.6447,0.60085,0.86522,0.9978,0.90973,0.41104,0.43073,0.37581,0.50899,0.76509,0.9053,0.00150197,0.00150197,0.00150197
12,67.0133,0.60559,0.82809,0.99665,0.89438,0.44479,0.41778,0.3794,0.45415,0.7636,0.86687,0.00148546,0.00148546,0.00148546
13,72.2484,0.58814,0.81653,0.98521,0.93748,0.42933,0.45185,0.40631,0.48442,0.67693,0.86034,0.00146896,0.00146896,0.00146896
14,77.5903,0.56222,0.74724,0.96732,0.89224,0.3908,0.40645,0.37085,0.45119,0.78106,0.89349,0.00145246,0.00145246,0.00145246
15,82.9893,0.54937,0.74441,0.97518,0.92723,0.41423,0.44944,0.40816,0.42846,0.6252,0.85116,0.00143595,0.00143595,0.00143595
16,88.4701,0.54674,0.74895,0.95207,0.92905,0.40184,0.43159,0.38547,0.49038,0.77531,0.90923,0.00141945,0.00141945,0.00141945
17,93.7012,0.54113,0.73982,0.97148,0.92347,0.44134,0.46775,0.43457,0.379,0.53846,0.82429,0.00140295,0.00140295,0.00140295
18,99.0408,0.55654,0.71606,0.97205,0.41566,0.43865,0.45519,0.41102,0.41844,0.63625,0.86232,0.00138644,0.00138644,0.00138644
19,104.411,0.56444,0.7414,0.98553,0.90257,0.44363,0.45281,0.41713,0.38934,0.64335,0.86507,0.00136994,0.00136994,0.00136994
20,109.743,0.52954,0.67507,0.96696,0.91661,0.44172,0.46241,0.4245,0.41625,0.57308,0.84795,0.00135344,0.00135344,0.00135344
21,118.472,0.50306,0.66698,0.95075,0.89897,0.46319,0.44525,0.41796,0.37622,0.63461,0.82787,0.00133693,0.00133693,0.00133693
22,140.68,0.5229,0.64474,0.96028,0.9185,0.43558,0.45988,0.42874,0.38772,0.54772,0.83201,0.00132043,0.00132043,0.00132043
23,162.926,0.50822,0.64594,0.94312,0.8961,0.45092,0.5088,0.4225,0.37897,0.56195,0.84845,0.00130393,0.00130393,0.00130393
24,185.481,0.48368,0.63679,0.93675,0.88265,0.44011,0.44364,0.37982,0.5309,0.70595,1.01933,0.00128742,0.00128742,0.00128742
25,207.928,0.49674,0.6509,0.94807,0.41333,0.45706,0.46022,0.43633,0.34185,0.57159,0.83127,0.00127092,0.00127092,0.00127092
26,218.385,0.50239,0.63626,0.95298,0.93363,0.44088,0.45153,0.41963,0.38332,0.56427,0.83809,0.00125442,0.00125442,0.00125442
