epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.21953,1.54915,6.09037,1.76638,0.96073,0.125,0.24818,0.15051,1.61288,3.3249,2.21265,1e-05,1e-05,0.09901
2,2.72181,1.81877,5.90203,2.22712,0.96252,0.125,0.28309,0.15566,1.57091,3.42168,2.17711,2.946e-05,2.946e-05,0.0970295
3,3.10136,1.38886,5.21729,1.74389,0.96389,0.125,0.21728,0.14155,1.53021,3.53787,2.1536,4.82e-05,4.82e-05,0.0950482
4,3.52192,1.65495,5.44606,2.09929,0.62015,0.25,0.32722,0.17334,1.81367,2.07913,2.3776,6.622e-05,6.622e-05,0.0930662
5,4.00858,1.2355,3.67905,1.66908,0.59542,0.625,0.7046,0.30606,1.64271,2.3041,2.32113,8.352e-05,8.352e-05,0.0910835
6,4.48,1.43718,3.50973,1.93626,0.59542,0.625,0.7046,0.30606,1.64271,2.3041,2.32113,0.0001001,0.0001001,0.0891001
7,4.96045,0.92595,2.58091,1.42185,0.66808,0.75,0.79683,0.3816,1.47595,4.48693,2.08397,0.00011596,0.00011596,0.087116
8,5.4613,1.02292,1.97698,1.44589,0.62819,0.875,0.81314,0.40312,1.35105,7.46684,1.91243,0.0001311,0.0001311,0.0851311
9,5.94852,0.83939,1.76662,1.39551,0.62819,0.875,0.81314,0.40312,1.35105,7.46684,1.91243,0.00014552,0.00014552,0.0831455
10,6.43335,0.90591,1.75627,1.49883,0.50695,0.75,0.64732,0.28888,1.35209,7.92125,1.95745,0.00015922,0.00015922,0.0811592
11,6.93782,0.91809,1.67053,1.20177,0.50695,0.75,0.64732,0.28888,1.35209,7.92125,1.95745,0.0001722,0.0001722,0.0791722
12,7.40927,1.05918,1.71233,1.48321,0.53504,0.75,0.65633,0.27848,1.30183,7.30054,1.94902,0.00018446,0.00018446,0.0771845
13,7.8746,0.77272,1.44915,1.41879,0.53504,0.75,0.65633,0.27848,1.30183,7.30054,1.94902,0.000196,0.000196,0.075196
14,8.34093,0.96587,1.46773,1.48066,0.53504,0.75,0.65633,0.27848,1.30183,7.30054,1.94902,0.00020682,0.00020682,0.0732068
15,8.83114,0.86633,1.30461,1.35028,0.56862,0.875,0.65874,0.35038,1.1692,5.45864,1.79667,0.00021692,0.00021692,0.0712169
16,9.30109,0.70057,1.22576,1.24388,0.56862,0.875,0.65874,0.35038,1.1692,5.45864,1.79667,0.0002263,0.0002263,0.0692263
17,9.78228,0.85686,1.44825,1.56186,0.56862,0.875,0.65874,0.35038,1.1692,5.45864,1.79667,0.00023496,0.00023496,0.067235
18,10.2809,0.9858,1.51285,1.56336,0.59916,0.875,0.7485,0.45999,1.0966,4.03839,1.70965,0.0002429,0.0002429,0.0652429
19,10.7987,0.6807,1.23398,1.20181,0.59916,0.875,0.7485,0.45999,1.0966,4.03839,1.70965,0.00025012,0.00025012,0.0632501
20,11.3085,0.93974,1.31178,1.46538,0.59916,0.875,0.7485,0.45999,1.0966,4.03839,1.70965,0.00025662,0.00025662,0.0612566
21,11.8196,0.60267,1.22415,1.12134,0.66471,1,0.84563,0.54439,1.05909,3.23301,1.67697,0.0002624,0.0002624,0.0592624
22,12.3389,0.55398,1.03018,1.08586,0.66471,1,0.84563,0.54439,1.05909,3.23301,1.67697,0.00026746,0.00026746,0.0572675
23,12.8526,0.63764,1.2924,1.24564,0.66471,1,0.84563,0.54439,1.05909,3.23301,1.67697,0.0002718,0.0002718,0.0552718
24,13.329,0.83404,1.27645,1.28267,0.66471,1,0.84563,0.54439,1.05909,3.23301,1.67697,0.00027542,0.00027542,0.0532754
25,13.8482,0.63843,1.11533,1.27559,0.7624,1,0.83857,0.57854,0.868,2.6846,1.47463,0.00027832,0.00027832,0.0512783
26,14.3441,0.6984,1.11569,1.23658,0.7624,1,0.83857,0.57854,0.868,2.6846,1.47463,0.0002805,0.0002805,0.0492805
27,14.8176,0.70663,1.1301,1.25308,0.7624,1,0.83857,0.57854,0.868,2.6846,1.47463,0.00028196,0.00028196,0.047282
28,15.3195,0.79678,1.21481,1.32462,0.7624,1,0.83857,0.57854,0.868,2.6846,1.47463,0.0002827,0.0002827,0.0452827
29,15.8351,0.82209,1.24578,1.42097,0.7624,1,0.83857,0.57854,0.868,2.6846,1.47463,0.00028272,0.00028272,0.0432827
30,16.3467,0.61503,0.94212,1.20198,0.72131,1,0.80255,0.56374,0.73266,1.81341,1.34265,0.00028202,0.00028202,0.041282
31,16.848,0.59713,0.95878,1.11244,0.72131,1,0.80255,0.56374,0.73266,1.81341,1.34265,0.0002806,0.0002806,0.0392806
32,17.324,0.67124,0.99113,1.1693,0.72131,1,0.80255,0.56374,0.73266,1.81341,1.34265,0.00027846,0.00027846,0.0372785
33,17.8075,0.5065,0.89793,1.03775,0.72131,1,0.80255,0.56374,0.73266,1.81341,1.34265,0.0002756,0.0002756,0.0352756
34,18.3127,0.85082,1.12871,1.23405,0.72131,1,0.80255,0.56374,0.73266,1.81341,1.34265,0.00027202,0.00027202,0.033272
35,18.7811,0.91485,1.3528,1.60434,0.72131,1,0.80255,0.56374,0.73266,1.81341,1.34265,0.00026772,0.00026772,0.0312677
36,19.3674,0.6704,0.95784,1.16302,0.79306,0.96094,0.83857,0.62418,0.65979,1.31626,1.29752,0.0002627,0.0002627,0.0292627
37,19.8713,0.5684,0.89894,1.04789,0.79306,0.96094,0.83857,0.62418,0.65979,1.31626,1.29752,0.00025696,0.00025696,0.027257
38,20.3572,0.63331,0.90709,1.17863,0.79306,0.96094,0.83857,0.62418,0.65979,1.31626,1.29752,0.0002505,0.0002505,0.0252505
39,20.846,0.93964,1.27904,1.70969,0.79306,0.96094,0.83857,0.62418,0.65979,1.31626,1.29752,0.00024332,0.00024332,0.0232433
40,21.3381,0.66327,0.94705,1.1496,0.79306,0.96094,0.83857,0.62418,0.65979,1.31626,1.29752,0.00023542,0.00023542,0.0212354
41,21.8165,0.69704,1.32477,1.31227,0.79306,0.96094,0.83857,0.62418,0.65979,1.31626,1.29752,0.0002268,0.0002268,0.0192268
42,22.3247,0.89188,1.42953,1.52378,0.79306,0.96094,0.83857,0.62418,0.65979,1.31626,1.29752,0.00021746,0.00021746,0.0172175
43,22.8127,0.73017,1.30186,1.36492,0.88523,0.96709,0.88444,0.69304,0.64755,1.09603,1.27691,0.0002074,0.0002074,0.0152074
44,23.2967,0.68573,1.24042,1.40325,0.88523,0.96709,0.88444,0.69304,0.64755,1.09603,1.27691,0.00019662,0.00019662,0.0131966
45,23.7952,0.6034,1.27482,1.28413,0.88523,0.96709,0.88444,0.69304,0.64755,1.09603,1.27691,0.00018512,0.00018512,0.0111851
