epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.55109,1.1396,2.80703,1.73663,0.00333,1,0.23643,0.05529,1.98646,3.25962,3.14319,4e-05,4e-05,4e-05
2,3.2897,1.27834,2.65652,1.83551,0.00333,1,0.695,0.31011,1.52518,3.07701,2.63095,9.87625e-05,9.87625e-05,9.87625e-05
3,3.9268,1.46011,2.66207,1.99494,0.00333,1,0.82833,0.39797,1.328,2.93462,2.25573,0.00015604,0.00015604,0.00015604
4,4.56867,1.06724,2.45228,1.76673,0.00333,1,0.62,0.35205,1.36153,2.90552,2.3732,0.000211833,0.000211833,0.000211833
5,5.13331,0.89598,2.34441,1.54458,0.00333,1,0.995,0.696,1.0039,2.80644,1.65797,0.00026614,0.00026614,0.00026614
6,5.74553,0.92207,2.41698,1.57711,0.00333,1,0.995,0.796,0.54148,2.71317,1.1812,0.000318963,0.000318963,0.000318963
7,6.33397,0.79625,1.96294,1.44589,0.00333,1,0.995,0.8455,0.42895,2.746,1.09031,0.0003703,0.0003703,0.0003703
8,6.98335,1.13091,2.05091,1.64239,0.00333,1,0.995,0.7955,0.47608,2.69711,1.17707,0.000420152,0.000420152,0.000420152
9,7.58576,0.88489,1.70997,1.44652,0.00333,1,0.995,0.7955,0.47608,2.69711,1.17707,0.00046852,0.00046852,0.00046852
10,8.20194,0.90336,1.76517,1.53051,0.00333,1,0.995,0.82075,0.44243,2.52428,1.07792,0.000515403,0.000515403,0.000515403
11,8.81543,0.9733,1.60797,1.48252,0.00333,1,0.995,0.82075,0.44243,2.52428,1.07792,0.0005608,0.0005608,0.0005608
12,9.46927,1.29817,1.91048,2.03366,0.00333,1,0.995,0.82075,0.66415,2.45118,1.20729,0.000604713,0.000604713,0.000604713
13,10.0979,0.86864,1.31315,1.4054,0.00333,1,0.995,0.82075,0.66415,2.45118,1.20729,0.00064714,0.00064714,0.00064714
14,10.729,0.88672,1.75853,1.38667,0.00333,1,0.995,0.48758,1.02737,2.73671,1.69503,0.000688083,0.000688083,0.000688083
15,11.3447,0.90255,1.60658,1.42059,0.00333,1,0.995,0.48758,1.02737,2.73671,1.69503,0.00072754,0.00072754,0.00072754
16,11.985,1.08628,1.52453,1.54485,0.00333,1,0.995,0.48758,1.02737,2.73671,1.69503,0.000765512,0.000765512,0.000765512
17,12.634,0.89721,1.49804,1.35187,0.00333,1,0.82833,0.66267,0.86337,2.63145,1.37243,0.000802,0.000802,0.000802
18,13.2608,0.95724,1.4551,1.45968,0.00333,1,0.82833,0.66267,0.86337,2.63145,1.37243,0.000837003,0.000837003,0.000837003
19,13.8602,0.77088,1.14261,1.36028,0.00333,1,0.82833,0.66267,0.86337,2.63145,1.37243,0.00087052,0.00087052,0.00087052
20,14.4454,1.26083,1.91511,1.68892,1,0.96956,0.995,0.696,0.80306,1.85183,1.51015,0.000902552,0.000902552,0.000902552
21,15.0738,0.88037,1.32124,1.23952,1,0.96956,0.995,0.696,0.80306,1.85183,1.51015,0.0009331,0.0009331,0.0009331
22,15.6604,0.85113,1.56417,1.44411,1,0.96956,0.995,0.696,0.80306,1.85183,1.51015,0.000962162,0.000962162,0.000962162
23,16.2573,0.81646,1.15565,1.32198,1,0.96956,0.995,0.696,0.80306,1.85183,1.51015,0.00098974,0.00098974,0.00098974
24,16.8631,0.86856,1.47817,1.46043,0.95007,1,0.995,0.796,0.96304,1.62959,1.93039,0.00101583,0.00101583,0.00101583
25,17.4567,0.8578,1.46175,1.32892,0.95007,1,0.995,0.796,0.96304,1.62959,1.93039,0.00104044,0.00104044,0.00104044
26,18.0266,0.86284,1.28774,1.47167,0.95007,1,0.995,0.796,0.96304,1.62959,1.93039,0.00106356,0.00106356,0.00106356
27,18.5977,0.90583,1.5978,1.34928,0.95007,1,0.995,0.796,0.96304,1.62959,1.93039,0.0010852,0.0010852,0.0010852
